"Index","Venue.ID","Cluster.ID","Event.Lon","Event.Lat"
"216",215,23585477,5,-79.923988,40.461502
"217",216,14167812,5,-79.920715,40.452885
"218",217,833058,0,-79.966716,40.425941
"219",218,17499542,5,-79.985107,40.451435
"220",219,24013737,5,-79.957314,40.555496
"221",220,23917876,5,-79.978386,40.385338
"222",221,24184871,5,-80.030434,40.404484
"223",222,23771672,5,-79.879341,40.487827
"224",223,24158661,0,-80.023041,40.329342
"225",224,6532322,5,-79.96476,40.466358
"226",225,23596545,5,-80.103767,40.292664
"227",226,23883769,5,-79.942993,40.45068
"228",227,1154790,5,-79.938581,40.455928
"229",228,23586831,5,-80.04072,40.40349
"230",229,23670776,5,-80.033928,40.372467
"231",230,22446562,1,-80.033188,40.404533
"232",231,14838612,5,-80.000076,40.442169
"233",232,24131243,5,-79.724854,40.58952
"234",233,17841722,5,-79.922653,40.438213
"235",234,20785082,5,-79.921867,40.438061
"236",235,24071135,5,-79.759773,40.601456
"237",236,23662715,5,-79.941826,40.425671
"238",237,23825584,5,-79.979095,40.686523
"239",238,23625436,5,-80.09689,40.67315
"240",239,24153444,5,-79.914986,40.353367
"241",240,23935278,5,0,0
"242",241,24147961,5,-79.94229,40.46396
"243",242,23771661,5,0,0
"244",243,23698667,0,-79.895859,40.409176
"245",244,15182542,5,-79.883049,40.488579
"246",245,24103445,5,-80.097916,40.719913
"247",246,1383936,5,-80.224573,40.509119
