Venue,Month,EID,Topic,Count
19036712,9,qtcqcjytmbvb,ultimate,1
19036712,9,qtcqcjytmbvb,oval,1
19036712,9,qtcqcjytmbvb,mass,1
19036712,9,qtcqcjytmbvb,see,1
19036712,9,qtcqcjytmbvb,learn,1
19036712,10,qtcqcjytnbcc,ultimate,1
19036712,10,qtcqcjytnbcc,learn,1
19036712,10,qtcqcjytnbcc,lower,1
19036712,10,qtcqcjytnbcc,mass,1
19036712,10,qtcqcjytnbcc,mob,1
19036712,10,qtcqcjytnbcc,scrabble,1
19036712,10,qtcqcjytnbcc,play,1
19036712,10,qtcqcjytnbcc,come,1
19036712,10,qtcqcjytnbcc,oval,1
19036712,10,qtcqcjytnbcc,see,1
19036712,10,qtcqcjytnbkb,mass,1
19036712,10,qtcqcjytnbkb,oval,1
19036712,10,qtcqcjytnbkb,play,1
19036712,10,qtcqcjytnbkb,mob,1
19036712,10,qtcqcjytnbkb,ultimate,1
19036712,10,qtcqcjytnbkb,scrabble,1
19036712,10,qtcqcjytnbkb,see,1
19036712,10,qtcqcjytnbkb,come,1
19036712,10,qtcqcjytnbkb,lower,1
19036712,10,qtcqcjytnbkb,learn,1
19036712,10,qtcqcjytnblc,see,1
19036712,10,qtcqcjytnblc,lower,1
19036712,10,qtcqcjytnblc,ultimate,1
19036712,10,qtcqcjytnblc,play,1
19036712,10,qtcqcjytnblc,learn,1
19036712,10,qtcqcjytnblc,come,1
19036712,10,qtcqcjytnblc,mass,1
19036712,10,qtcqcjytnblc,scrabble,1
19036712,10,qtcqcjytnblc,oval,1
19036712,10,qtcqcjytnblc,mob,1
19036712,10,qtcqcjytnbsb,mass,1
19036712,10,qtcqcjytnbsb,scrabble,1
19036712,10,qtcqcjytnbsb,come,1
19036712,10,qtcqcjytnbsb,ultimate,1
19036712,10,qtcqcjytnbsb,play,1
19036712,10,qtcqcjytnbsb,mob,1
19036712,10,qtcqcjytnbsb,lower,1
19036712,10,qtcqcjytnbsb,learn,1
19036712,10,qtcqcjytnbsb,see,1
19036712,10,qtcqcjytnbsb,oval,1
19036712,11,qtcqcjytpbgb,play,1
19036712,11,qtcqcjytpbgb,lower,1
19036712,11,qtcqcjytpbgb,come,1
19036712,11,qtcqcjytpbgb,see,1
19036712,11,qtcqcjytpbgb,mob,1
19036712,11,qtcqcjytpbgb,oval,1
19036712,11,qtcqcjytpbgb,learn,1
19036712,11,qtcqcjytpbgb,mass,1
19036712,11,qtcqcjytpbgb,ultimate,1
19036712,11,qtcqcjytpbgb,scrabble,1
19036712,11,qtcqcjytpbhc,mass,1
19036712,11,qtcqcjytpbhc,ultimate,1
19036712,11,qtcqcjytpbhc,scrabble,1
19036712,11,qtcqcjytpbhc,mob,1
19036712,11,qtcqcjytpbhc,lower,1
19036712,11,qtcqcjytpbhc,oval,1
19036712,11,qtcqcjytpbhc,see,1
19036712,11,qtcqcjytpbhc,come,1
19036712,11,qtcqcjytpbhc,play,1
19036712,11,qtcqcjytpbhc,learn,1
19036712,11,qtcqcjytpbpb,learn,1
19036712,11,qtcqcjytpbpb,come,1
19036712,11,qtcqcjytpbpb,oval,1
19036712,11,qtcqcjytpbpb,mob,1
19036712,11,qtcqcjytpbpb,ultimate,1
19036712,11,qtcqcjytpbpb,see,1
19036712,11,qtcqcjytpbpb,mass,1
19036712,11,qtcqcjytpbpb,play,1
19036712,11,qtcqcjytpbpb,scrabble,1
19036712,11,qtcqcjytpbpb,lower,1
19036712,11,qtcqcjytpbxb,ultimate,1
19036712,11,qtcqcjytpbxb,play,1
19036712,11,qtcqcjytpbxb,mass,1
19036712,11,qtcqcjytpbxb,oval,1
19036712,11,qtcqcjytpbxb,learn,1
19036712,11,qtcqcjytpbxb,see,1
19036712,11,qtcqcjytpbxb,lower,1
19036712,11,qtcqcjytpbxb,scrabble,1
19036712,11,qtcqcjytpbxb,mob,1
19036712,11,qtcqcjytpbxb,come,1
19036712,12,qtcqcjytqbfc,learn,1
19036712,12,qtcqcjytqbfc,mass,1
19036712,12,qtcqcjytqbfc,mob,1
19036712,12,qtcqcjytqbfc,play,1
19036712,12,qtcqcjytqbfc,see,1
19036712,12,qtcqcjytqbfc,lower,1
19036712,12,qtcqcjytqbfc,ultimate,1
19036712,12,qtcqcjytqbfc,oval,1
19036712,12,qtcqcjytqbfc,come,1
19036712,12,qtcqcjytqbfc,scrabble,1
19036712,12,qtcqcjytqbmb,see,1
19036712,12,qtcqcjytqbmb,mob,1
19036712,12,qtcqcjytqbmb,ultimate,1
19036712,12,qtcqcjytqbmb,oval,1
